start		CL	EA	EA_NA	EU	NA	OTHER	Total
2015-05-01		6	10	10	26	20	0	72
2015-05-08		8	16	6	22	18	0	70
2015-05-15		6	14	6	24	20	0	70
2015-05-22		8	16	0	24	22	0	70
2015-05-29		2	4	0	6	8	0	20
