start		CL	EA	EA_NA	EU	NA	OTHER	Total
2015-05-01		4	12	10	20	26	0	72
2015-05-08		6	14	2	18	30	0	70
2015-05-15		6	18	8	16	22	0	70
2015-05-22		2	18	0	24	26	0	70
2015-05-29		0	8	4	6	2	0	20
