start		CL	EA	EA_NA	EU	NA	OTHER	Total
2015-03-01		2	28	2	16	22	0	70
2015-03-08		12	24	4	12	16	0	68
2015-03-15		10	10	4	10	12	0	46
2015-03-22		2	2	0	4	20	0	28
2015-03-29		2	2	0	8	4	0	16

