start		CL	EA	EA_NA	EU	NA	OTHER	Total
2015-03-01		4	18	6	16	26	0	70
2015-03-08		8	30	2	12	16	0	68
2015-03-15		14	14	2	18	10	0	58
2015-03-22		2	0	0	0	10	0	12
2015-03-29		0	0	0	2	0	0	2

